date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:03	44/44	U-----	200	untouched ('OK')	text/plain	etag:W/%2218-5a260969d3ac0%22	https://cacnprf.com/robots.txt		(from )
15:05:04	66935/66935	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2023%20Oct%202022%2019:04:13%20GMT	https://cacnprf.com/category/real-estate/	C:/My%20Web%20Sites/cacnprf/cacnprf.com/category/real-estate/index.html	(from )
15:05:04	840/840	---M--	200	added ('OK')	image/png	etag:%22348-577ea20820dc0%22	https://45575e.p3cdn1.secureserver.net/wp-content/uploads/2018/10/multiple-users-silhouette.png?time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/uploads/2018/10/multiple-users-silhouette481d.png	(from https://cacnprf.com/category/real-estate/)
15:05:04	502/502	U-----	200	untouched ('OK')	text/css	etag:%221f6-5eb7956c3dc15-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar.css?ver=6.0.3&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/plugins/themeisle-companion/obfx_modules/companion-legacy/assets/css/hestia/clients-bar199d.css	(from https://cacnprf.com/category/real-estate/)
15:05:04	88932/88932	U-----	200	untouched ('OK')	text/css	etag:%2215b64-5eb46cc7603b4-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-includes/css/dist/block-library/style.min199d.css	(from https://cacnprf.com/category/real-estate/)
15:05:05	73000/73000	U-----	200	untouched ('OK')	text/css	etag:%2211d28-5eb788527f0e3-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min.css?ver=1.0.2&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/bootstrap/css/bootstrap.min9a5e.css	(from https://cacnprf.com/category/real-estate/)
15:05:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2023%20Oct%202022%2019:05:04%20GMT	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/My%20Web%20Sites/cacnprf/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.b.delayed	(from https://cacnprf.com/category/real-estate/)
15:05:05	3896/3896	U-----	200	untouched ('OK')	text/css	etag:%22f38-5eb78852a2364-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/css/font-sizes.min.css?ver=3.0.24&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/css/font-sizes.mina8c9.css	(from https://cacnprf.com/category/real-estate/)
15:05:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2023%20Oct%202022%2019:05:04%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl.min.js	C:/My%20Web%20Sites/cacnprf/img1.wsimg.com/traffic-assets/js/tccl.min.c.delayed	(from https://cacnprf.com/category/real-estate/)
15:05:05	143772/143772	U-----	200	untouched ('OK')	text/css	etag:%222319c-5eb78852a5244-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/style.min.css?ver=3.0.24&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/style.mina8c9.css	(from https://cacnprf.com/category/real-estate/)
15:05:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2023%20Oct%202022%2019:05:04%20GMT	https://img1.wsimg.com/traffic-assets/js/tccl-tti.min.js	C:/My%20Web%20Sites/cacnprf/img1.wsimg.com/traffic-assets/js/tccl-tti.min.e.delayed	(from https://cacnprf.com/category/real-estate/)
15:05:08	47722/47722	---MC-	200	added ('OK')	application/rss+xml	etag:%225ea9f662fd3df1c44c16f8b994bf835a%22	https://cacnprf.com/category/real-estate/feed/	C:/My%20Web%20Sites/cacnprf/cacnprf.com/category/real-estate/feed/index.html	(from https://cacnprf.com/category/real-estate/)
15:06:21	11224/11224	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%222bd8-5eb46cc802962-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery-migrate.minb86f.js	(from https://cacnprf.com/category/real-estate/)
15:06:21	23366/23366	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%225b46-5eb788527e143-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min.js?ver=1.0.2&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min9a5e.js	(from https://cacnprf.com/category/real-estate/)
15:06:21	89521/89521	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%2215db1-5eb46cc8040d2;59233292792c0	https://45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery.min.js?ver=3.6.0&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/jquery.min3df8.js	(from https://cacnprf.com/category/real-estate/)
15:06:21	20715/20715	U-F---	200	untouched ('OK%20(cached)')	application/x-javascript	etag:%2250eb-5eb46cc80545b-gzip%22	https://45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1&time=1666486517	C:/My%20Web%20Sites/cacnprf/45575e.p3cdn1.secureserver.net/wp-includes/js/jquery/ui/core.min5e16.js	(from https://cacnprf.com/category/real-estate/)
15:06:21	45537/45537	------	200	untouched ('')	application/javascript	etag:%22362d20193a8fed115f99b16a157b7fc4%22	https://img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	C:/My%20Web%20Sites/cacnprf/img6.wsimg.com/wrhs/362d20193a8fed115f99b16a157b7fc4/tccl.min.js	(from https://cacnprf.com/category/real-estate/)
15:06:21	24712/24712	------	200	untouched ('')	application/javascript	etag:%22ce554d2333f3801abafb32da18213ff7%22	https://img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js	C:/My%20Web%20Sites/cacnprf/img6.wsimg.com/wrhs/ce554d2333f3801abafb32da18213ff7/tti.min.js	(from https://cacnprf.com/category/real-estate/)
